SA3	Region	Median Price	12M Growth (%)	Rent Change (%)	Yield (%)	Buy Affordability	Rent Affordability	10Y Growth (PA)	Latitude	Longitude
Cairns - South	Cairns	$300,000	15.40	13	7.83	4.17	32.64	7.152737752	-16.94577875	145.7297089
Cairns - South	Cairns	$641,350	15.57	9	5.33	8.44	53.17	7.152737752	-16.94577875	145.7297089
Tablelands (East) - Kuranda	Cairns	$612,500	9.68	6	4.37	6.28	32.43	5.692307692	-17.30097795	145.5453824
Brisbane Inner - East	Brisbane Inner City	$712,050	13.43	8	4.59	5.38	24.68	13.56164384	-27.48379013	153.0463054
Brisbane Inner - East	Brisbane Inner City	$1,400,000	14.67	8	2.96	11.40	39.88	13.56164384	-27.48379013	153.0463054
Gympie - Cooloola	Wide Bay	$769,000	12.17	5	3.67	8.65	31.73	12.63157895	-26.1967571	152.712254
Innisfail - Cassowary Coast	Cairns	$575,000	7.27	12	5.42	5.68	30.75	5.884615385	-17.89474234	145.9985652
Granite Belt	Darling Downs - Maranoa	$399,000	16.50	7	5.09	3.69	18.74	7.777777778	-27.77188706	151.9542332
Innisfail - Cassowary Coast	Cairns	$330,000	7.27	12	6.62	4.91	38.46	5.884615385	-17.53201677	146.035477
Innisfail - Cassowary Coast	Cairns	$289,000	-11.11	6	6.67	3.95	26.33	5.884615385	-17.53201677	146.035477
Ipswich Inner	Ipswich	$429,000	32.86	13	4.74	5.79	27.43	12.20367279	-27.60648586	152.7760414
Ipswich Inner	Ipswich	$599,000	21.15	13	4.56	7.62	41.14	12.20367279	-27.60648586	152.7760414
Mackay	Mackay - Isaac - Whitsunday	$530,400	18.48	16	5.85	5.13	35.51	3.523573201	-21.15407222	149.1985555
Mackay	Mackay - Isaac - Whitsunday	$289,000	15.83	13	7.80	2.84	22.15	3.523573201	-21.15407222	149.1985555
Burnett	Wide Bay	$465,000	11.76	7	5.79	6.82	39.52	6.52173913	-26.69179889	152.0593088
Innisfail - Cassowary Coast	Cairns	$435,120	7.27	12	5.89	4.86	28.59	5.884615385	-17.59464068	145.8476675
Toowoomba	Toowoomba	$515,000	23.59	8	4.60	4.86	22.32	8.413597734	-27.56223533	151.9674232
Toowoomba	Toowoomba	$880,000	13.71	9	3.73	7.97	35.20	8.413597734	-27.56223533	151.9674232
Cairns - South	Cairns	$595,000	15.57	9	5.83	5.03	34.67	7.152737752	-16.9385343	145.7967784
Ipswich Inner	Ipswich	$429,000	32.86	13	4.74	5.34	25.31	12.20367279	-27.62616106	152.7769841
Ipswich Inner	Ipswich	$699,000	21.15	13	3.71	8.31	36.50	12.20367279	-27.62616106	152.7769841
The Hills District	Moreton Bay - South	$1,100,000	13.51	6	3.69	6.28	23.19	10.19230769	-27.34113259	152.9370784
Ipswich Inner	Ipswich	$613,600	21.15	13	4.22	7.82	39.04	12.20367279	-27.60907338	152.8246492
Ipswich Hinterland	Ipswich	$699,000	23.27	10	4.07	6.38	25.96	11.87096774	-27.67772368	152.6180131
Beenleigh	Logan - Beaudesert	$499,000	31.43	7	5.01	4.76	23.86	12.703125	-27.70286792	153.1691161
Beenleigh	Logan - Beaudesert	$774,800	17.18	6	3.99	7.45	35.19	12.703125	-27.70286792	153.1691161
Cairns - South	Cairns	$339,150	15.40	13	6.88	3.30	22.73	7.152737752	-16.90053815	145.7443836
Cairns - South	Cairns	$730,000	15.57	9	4.79	6.85	38.83	7.152737752	-16.90053815	145.7443836
Cairns - South	Cairns	$251,450	15.40	13	7.83	2.76	21.62	7.152737752	-17.0128972	145.753204
Cairns - South	Cairns	$569,000	15.57	9	5.57	5.54	36.52	7.152737752	-17.0128972	145.753204
Nambour	Sunshine Coast	$1,176,000	10.61	10	3.10	13.18	40.86	12.42014742	-26.47967423	152.909599
Burnett	Wide Bay	$299,000	11.76	7	7.00	5.25	36.77	6.52173913	-25.36834816	151.0547776
Mt Gravatt	Brisbane - South	$712,400	21.24	11	4.85	5.69	27.57	12.22222222	-27.578812	153.0878633
Mt Gravatt	Brisbane - South	$1,454,995	13.04	7	2.67	12.38	33.09	12.22222222	-27.578812	153.0878633
Mackay	Mackay - Isaac - Whitsunday	$350,000	15.83	13	6.17	2.68	16.52	3.523573201	-21.04573394	149.1738207
Mackay	Mackay - Isaac - Whitsunday	$592,800	18.48	16	5.73	4.16	28.21	3.523573201	-21.04573394	149.1738207
Innisfail - Cassowary Coast	Cairns	$435,120	7.27	12	5.89	5.88	34.62	5.884615385	-17.80298649	146.0043234
Coolangatta	Gold Coast	$799,000	12.56	11	4.65	7.55	35.16	18.67924528	-28.1386583	153.4426976
Coolangatta	Gold Coast	$1,300,000	16.92	11	4.00	12.12	57.34	18.67924528	-28.1386583	153.4426976
Bundaberg	Wide Bay	$680,000	18.84	10	4.64	6.48	30.07	10	-25.0045018	152.1149055
Hervey Bay	Wide Bay	$469,000	9.77	11	6.05	6.46	39.11	10.15151515	-25.27641071	152.8026628
Hervey Bay	Wide Bay	$645,000	8.13	11	5.00	9.95	58.77	10.15151515	-25.27641071	152.8026628
Caboolture	Moreton Bay - North	$1,080,000	14.52	10	4.25	7.75	32.93	12.1875	-26.99707643	152.9703623
Forest Lake - Oxley	Ipswich	$661,550	17.02	9	4.49	7.87	35.31	11.9123506	-27.61588488	152.9463182
Forest Lake - Oxley	Ipswich	$512,000	29.68	8	5.01	6.49	32.50	11.9123506	-27.61588488	152.9463182
Innisfail - Cassowary Coast	Cairns	$575,000	7.27	12	5.42	9.92	63.53	5.884615385	-18.24121184	145.9818284
Burnett	Wide Bay	$465,000	11.76	7	5.79	6.76	39.15	6.52173913	-26.74548796	151.7460381
Bundaberg	Wide Bay	$680,000	18.84	10	4.64	6.43	35.31	10	-25.00585018	152.3262643
Bundaberg	Wide Bay	$755,000	18.84	10	3.79	11.97	53.61	10	-24.91061319	152.4794011
Central Highlands (Qld)	Central Queensland	$245,000	18.09	9	8.63	1.74	14.98	1.46953405	-23.56453408	148.105183
Central Highlands (Qld)	Central Queensland	$410,000	15.94	15	6.59	3.09	24.07	1.46953405	-23.56453408	148.105183
Rockhampton	Central Queensland	$415,000	14.24	11	4.38	6.48	28.38	5.85106383	-23.25120549	150.7976911
Rockhampton	Central Queensland	$699,000	21.28	8	4.22	9.00	44.88	5.85106383	-23.25120549	150.7976911
Granite Belt	Darling Downs - Maranoa	$460,000	16.50	7	3.83	9.17	35.08	7.777777778	-28.193746	152.3607026
The Gap - Enoggera	Brisbane - West	$670,000	22.71	8	4.94	4.56	22.53	10.68518519	-27.42630587	152.9743274
The Gap - Enoggera	Brisbane - West	$1,262,700	20.63	8	2.33	11.12	25.86	10.68518519	-27.42630587	152.9743274
Mackay	Mackay - Isaac - Whitsunday	$649,000	18.48	16	5.61	3.30	21.91	3.523573201	-21.1311523	149.126592
Far North	Queensland - Outback	$800,000	5.43	-9	0.00	0.00	0.00	2.516129032	-9.585031471	143.769691
Ipswich Hinterland	Ipswich	$550,000	23.27	10	4.18	10.01	41.82	11.87096774	-27.25926078	152.4177785
Rockhampton	Central Queensland	$825,000	21.28	8	4.39	7.08	36.80	5.85106383	-23.22746801	150.39762
Mackay	Mackay - Isaac - Whitsunday	$591,600	18.48	16	4.93	4.66	27.17	3.523573201	-21.30738097	148.9439721
Innisfail - Cassowary Coast	Cairns	$435,120	7.27	12	5.89	3.82	22.52	5.884615385	-17.56349347	146.0845886
Innisfail - Cassowary Coast	Cairns	$460,750	7.27	12	4.84	4.52	25.86	5.884615385	-17.41908233	145.9814522
Sunshine Coast Hinterland	Sunshine Coast	$1,050,000	12.22	8	3.43	9.82	39.82	12.44444444	-26.73040679	152.9374767
Granite Belt	Darling Downs - Maranoa	$599,000	16.50	7	4.44	5.52	24.49	7.777777778	-28.7873702	151.9735824
Gladstone	Central Queensland	$849,000	23.46	16	5.41	10.52	67.29	2.72264631	-24.49861614	151.8672576
Nambour	Sunshine Coast	$1,082,900	10.61	10	3.21	9.92	31.81	12.42014742	-26.46607802	152.956372
Mackay	Mackay - Isaac - Whitsunday	$565,000	18.48	16	5.69	11.56	77.82	3.523573201	-21.12982	148.4768154
Bundaberg	Wide Bay	$680,000	18.84	10	4.64	7.81	42.88	10	-25.27642671	152.1646349
Darling Downs (West) - Maranoa	Darling Downs - Maranoa	$215,000	19.65	11	12.25	1.09	15.78	1	-26.43110826	148.8114962
Tablelands (East) - Kuranda	Cairns	$379,000	9.68	6	5.47	5.35	29.26	5.692307692	-17.50810612	145.4952891
